Revenue
12438
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
80,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
81,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
82,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
83,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
84,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
85,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
86,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
87,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
88,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
89,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
90,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
91,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
92,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
93,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
94,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
95,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
96,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
97,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
98,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
99,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
100,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
