Revenue
6172.6
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
41,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
42,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
43,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
44,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
45,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
46,6,6,6,6,E,6,6,6,6,E,6,6,6,6,E,,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,
47,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
48,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
49,21,21,21,21,21,21,21,E,,23,23,23,23,23,23,23,23,23,E,21,21,21,21,21,21,21,E,23,23,23,23,23,23,23,23,23,E,,,
50,,16,16,16,16,E,16,16,16,16,E,,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,16,16,16,16,E,16,16,16,16,E,,,
