Revenue
19125.9
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,16,16,16,16,16,M,
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,,,
3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,,,,,,
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,,,
5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,16,16,16,,
6,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,3,3,3,3,,
8,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,3,3,3,3,,
10,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,16,16,16,,
12,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,16,16,16,,
14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,,,
15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,16,16,16,16,,
16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,,,
