Revenue
1724.3
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
32,16,16,16,16,E,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
33,7,7,7,7,E,15,15,15,E,7,7,7,7,E,7,7,7,7,E,,3,3,3,3,E,3,3,3,3,E,7,7,7,7,E,3,3,3,3,E
34,16,16,16,16,E,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
35,7,7,7,7,E,15,15,15,E,7,7,7,7,E,7,7,7,7,E,,3,3,3,3,E,3,3,3,3,E,7,7,7,7,E,3,3,3,3,E
36,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,
37,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
38,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,
39,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,,
40,16,16,16,16,E,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
41,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,
42,16,16,16,16,E,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
43,13,13,13,13,13,13,E,9,9,9,9,9,9,9,9,9,E,9,9,9,9,9,9,9,9,9,E,9,9,9,9,9,9,9,9,9,E,,,
44,7,7,7,7,E,7,7,7,7,E,15,15,15,E,7,7,7,7,E,,3,3,3,3,E,3,3,3,3,E,7,7,7,7,E,3,3,3,3,E
45,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,
46,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,3,3,3,3,E,,,
47,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,
48,16,16,16,16,E,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,
49,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,11,11,11,11,11,11,11,11,11,11,11,11,E,
50,7,7,7,7,E,15,15,15,E,7,7,7,7,E,7,7,7,7,E,,3,3,3,3,E,3,3,3,3,E,7,7,7,7,E,3,3,3,3,E
