Revenue
3703.54
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
40,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
41,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
42,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
43,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
44,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
45,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
46,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
47,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
48,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
49,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
50,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
51,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
52,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
53,8,8,8,8,8,8,8,8,8,E,8,8,8,8,8,8,8,8,8,E,8,8,8,8,8,8,8,8,8,E,3,3,3,3,E,3,3,3,3,E
54,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,16,16,16,16,E,17,17,17,E
55,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
56,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E
57,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
58,17,17,17,E,15,15,15,E,15,15,15,E,15,15,15,E,15,15,15,E,15,15,15,E,15,15,15,E,,,,16,16,16,16,E,17,17,17,E
59,,,,,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
60,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
61,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
62,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
63,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
64,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
65,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
66,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
67,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
68,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
69,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
70,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
71,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
72,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
73,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
74,,,,,13,13,13,13,13,13,E,,,,,,,13,13,13,13,13,13,E,,,,,,,3,3,3,3,E,3,3,3,3,E
75,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E
76,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
77,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,16,16,16,16,E,17,17,17,E
78,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
79,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
80,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
81,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
82,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
83,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
84,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
85,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
86,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
87,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
88,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
89,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
90,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
91,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
92,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
93,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
94,8,8,8,8,8,8,8,8,8,E,8,8,8,8,8,8,8,8,8,E,,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
95,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
96,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
97,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
98,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
99,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
100,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
