Revenue
381.162
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,M,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
2,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
3,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
4,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
5,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
6,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
7,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
8,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
9,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
10,15,15,15,E,15,15,15,E,15,15,15,E,15,15,15,E,15,15,15,E,15,15,15,E,15,15,15,E,,,,16,16,16,16,E,17,17,17,E
11,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
12,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
