Revenue
13258.7
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,M,,16,16,16,16,E,,,7,7,7,7,E,,
2,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
3,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
4,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
5,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
6,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,16,16,16,16,E,17,17,17,E
7,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,,,,,,,3,3,3,3,E,3,3,3,3,E
8,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
9,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
10,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
11,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
12,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
13,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
14,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
15,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
16,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
17,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
18,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
19,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
20,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
21,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
22,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
23,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
24,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
25,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
26,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
27,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
28,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
29,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
30,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
31,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
32,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,,,,,,13,13,13,13,13,13,E,,
33,15,15,15,E,15,15,15,E,15,15,15,E,,,15,15,15,E,15,15,15,E,15,15,15,E,3,3,3,3,E,,,7,7,7,7,E,,
34,8,8,8,8,8,8,8,8,8,E,8,8,8,8,8,8,8,8,8,E,,,,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E
35,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
36,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
37,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
38,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
39,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
40,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,16,16,16,16,E,17,17,17,E
41,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
42,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,16,16,16,16,E,17,17,17,E
43,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
44,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
45,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,7,7,7,7,E,3,3,3,3,E,3,3,3,3,E,,,,7,7,7,7,E,,
46,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
47,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
48,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
49,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
50,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,
51,15,15,15,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,,,7,7,7,7,E,,
52,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
53,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
54,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,13,13,13,13,13,13,E,,
55,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,13,13,13,13,13,13,E,3,3,3,3,E,,,,
56,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
57,13,13,13,13,13,13,E,13,13,13,13,13,13,E,,,,13,13,13,13,13,13,E,,,3,3,3,3,E,3,3,3,3,E,,,,
58,17,17,17,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,16,16,16,16,E,,,16,16,16,16,E,16,16,16,16,E,17,17,17,E
59,5,5,5,5,E,5,5,5,5,E,5,5,5,5,E,,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,3,3,3,3,E,,,,
