A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,-1,-1,
-1,-1,-1,A3,A3,A3,A3,A3,A3,A3,-1,-1,
A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,-1,-1,
-1,-1,-1,A3,A3,A3,A3,A3,A3,A3,-1,-1,
A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,-1,-1,
-1,-1,-1,A3,A3,A3,A3,A3,A3,A3,-1,-1,
A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,-1,-1,
-1,-1,-1,A3,A3,A3,A3,A3,A3,A3,-1,-1,
A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
A1,A1,A1,A1,A1,A1,A1,A1,A1,A1,-1,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
